id_pok	tytul
1	FIZYKA CIALA STALEGO III
1	AUTOMATYKA II
1	AUTOCAD DOBRE PRAKTYKI
1	MIKROKONTROLERY AVR
1	101 ZABEZPIECZEN PRZED ATAKAMI W SIECI KOMPUTEROWEJ
1	WSTEP DO INFORMATYKI
10	METODY NUMERYCZNE II
10	ALGERBA I
10	GRAFIKA KOMPUTEROWA I
11	ANALIZA MATEMATYCZNA II
12	AUTOMATYKA I
13	METODY NUMERYCZNE II
13	JEZYKI PROGRAMOWANIA II
13	TEORIA GRAFOW
13	FLASH I PHP
13	CHEMIA FIZYCZNA
13	CHEMIA KWANTOWA II
13	PODSTAWY KRYPTOGRAFII I
13	ALGERBA III
13	FLASH I PHP
13	JAK DZIALA LINUX
14	FIZYKA TECHNICZNA I
14	OPTYMALIZACJA ALGORYTMOW II
14	GRAFIKA KOMPUTEROWA II
14	TEORIA GIER
14	AUDYT BEZPIECZENSTWA SIECI
15	ANALIZA MATEMATYCZNA II
15	GRAFIKA KOMPUTEROWA II
15	AUDYT BEZPIECZENSTWA SIECI
16	GRAFIKA KOMPUTEROWA III
16	KANONY WIEDZY PROGRAMISTYCZNEJ
16	GRAFIKA KOMPUTEROWA I
17	STEROWNIKI PRZEMYSLOWE II
17	MERNICTWO ELEKTRYCZNE II
17	VHDL
17	SIECI NEURONOWE
17	AUTOCAD DOBRE PRAKTYKI
17	ROBOTYKA I
17	FIZYKA TECHNICZNA II
18	OSCYLOSKOP W ZASTOSOWANIACH
18	OSCYLOSKOP W ZASTOSOWANIACH
18	HACKING SZTUKA PENETRACJI
18	FIZYKA CIALA STALEGO III
18	LINUX KSIEGA ADMINISTRATORA II
18	ALGORYTMY BEZ TAJEMNIC
19	TESTOWANIE UKLADOW VLSI
19	ROBOTYKA II
19	GRAFIKA KOMPUTEROWA I
19	AUTOMATYKA II
2	FIZYKA CIALA STALEGO II
2	METODY NUMERYCZNE II
20	ANALIZA I KOREKCJA BLEDOW
20	ELEKTRONIKA ANALOGOWA I
21	KOMPUTEROWA ANALIZA OBRAZOWANIA MEDYCZNEGO I
21	LINUX KSIEGA ADMINISTRATORA I
21	OPTYMALIZACJA ALGORYTMOW I
21	SYSTEMY OPERACYJNE
21	PROGRAMOWANIE MIKROKONTROLEROW II
21	ANALIZA MATEMATYCZNA I
21	FIZYKA TECHNICZNA I
22	ALGORYTMY BEZ TAJEMNIC
22	TESTY PENETRACYJNE SIECI WIFI
22	FIZYKA TECHNICZNA II
22	TESTOWANIE UKLADOW VLSI
22	ANSI C
22	WSTEP DO INFORMATYKI
23	METODY NUMERYCZNE II
23	RELACYJNE BAZY DANYCH I
23	ANALIZA ZLOZONYCH PROCESOW TECHNOLOGICZNYCH
24	ANSI C
24	KOMPUTEROWA ANALIZA OBRAZOWANIA MEDYCZNEGO I
24	GRAFIKA KOMPUTEROWA III
25	GRAFIKA KOMPUTEROWA II
25	HACKING SZTUKA PENETRACJI
25	TESTY PENETRACYJNE SIECI WIFI
25	FIZYKA TECHNICZNA III
26	KOMPUTEROWA ANALIZA OBRAZOWANIA MEDYCZNEGO II
26	PROGRAMOWANIE MIKROKONTROLEROW I
